"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"INPP5K"	-0.961599459356842	3.52380375866842	-13.6348396575881	1.16280214845048e-25	5.84322687663556e-24	47.7614953152758
"IGSF10"	-1.649877961505	1.40088003929683	-13.6274218441164	1.2085030632923e-25	6.04251531646149e-24	47.7231187419645
"ECT2"	1.70638784056702	2.46191914763579	13.6211150966881	1.24877393104426e-25	6.21280562708587e-24	47.6904862188208
"RPP40"	1.03790152064242	1.53429071021142	13.6181750438195	1.26800480702155e-25	6.27725151990868e-24	47.6752724321486
"AGRP"	-1.67440282777201	1.42747168318926	-13.6066637661829	1.34620345703275e-25	6.63154412331405e-24	47.6156975212707
"RRAS"	-1.39389462449421	5.88662085014096	-13.6023575092552	1.37668521249387e-25	6.74845692398958e-24	47.5934078906775
"CHPF2"	1.09503501981018	4.22062513666579	13.5961237332999	1.42204218823936e-25	6.93679116214321e-24	47.5611381051723
"MYBL2"	2.87295060941891	2.38014144231884	13.5804102394708	1.54314113680722e-25	7.49097639226804e-24	47.4797792454934
"S1PR4"	-1.52412850869956	2.76897585921461	-13.5527779116493	1.78174456613905e-25	8.60746167216935e-24	47.3366523693802
"TBX4"	-1.71844409457482	2.56526274530276	-13.5488022354409	1.81899591706941e-25	8.74517267821833e-24	47.3160536865937
"EPN3"	1.56241219647901	1.32263915555609	13.5427204351574	1.87749922192145e-25	8.98324986565286e-24	47.2845399298915
"NOL11"	0.807326381549122	3.29186994212246	13.5401326796548	1.90296106859761e-25	9.06171937427434e-24	47.2711300357024
"FTSJ1"	0.785386817284035	3.69917671148219	13.5239379879592	2.0703676222246e-25	9.81216882570902e-24	47.1871939884946
"BZW2"	1.29827130466877	4.09448265069614	13.4991025726018	2.3562602370132e-25	1.1114435080251e-23	47.0584260384907
"IL17D"	-0.656172760688128	0.769442629033147	-13.495334952792	2.40296538194796e-25	1.12815276147792e-23	47.0388864703752
"SPTBN2"	1.62496510581642	1.80054276806119	13.4923137675902	2.44108767974914e-25	1.14069517745287e-23	47.0232170962956
